رسیپی_آئی_ڈی,اجزاء_نمبر,جزو_کا_نام,مقدار
RCP00005,۳,ٹماٹر,۳ عدد
RCP00005,۴,پیاز,۱ عدد
RCP00005,۵,گاجر,۱ عدد
RCP00005,۶,ہری مرچ,۲ عدد
RCP00005,۷,ادرک لہسن کا پیسٹ,۱ کھانے کا چمچ
RCP00005,۸,سرخ مرچ پاؤڈر,۱ چائے کا چمچ
RCP00005,۹,کالی مرچ,۱/۲ چائے کا چمچ
RCP00005,۱۰,سویا ساس,۱ کھانے کا چمچ
RCP00005,۱۱,تیل / آئل,۳ کھانے کا چمچ
RCP00005,۱۲,نمک,حسبِ ذائقہ
RCP00006,۱,چکن,۷۵۰ گرام
RCP00006,۲,ٹماٹر پیوری,۴۰۰ گرام
RCP00006,۳,مکھن,۵۰ گرام
RCP00006,۴,کریم,۱۵۰ ملی لیٹر
RCP00006,۵,دہی,۱۰۰ گرام
RCP00006,۶,ادرک لہسن کا پیسٹ,۱ کھانے کا چمچ
RCP00006,۷,ہری مرچ,۱ چائے کا چمچ
RCP00006,۸,گرم مصالحہ,۱/۲ چائے کا چمچ
RCP00006,۹,چینی,۱ چائے کا چمچ
RCP00006,۱۰,نمک,حسبِ ذائقہ
RCP00007,۱,چکن,۶۰۰ گرام
RCP00007,۲,پالک,۵۰۰ گرام
RCP00007,۳,پیاز,۱ عدد
RCP00007,۴,ٹماٹر,۲ عدد
RCP00007,۵,ادرک لہسن کا پیسٹ,۱ کھانے کا چمچ
RCP00007,۶,ہری مرچ,۲ عدد
RCP00007,۷,ہری مرچ,۱ چائے کا چمچ
RCP00007,۸,ہلدی,۱/۲ چائے کا چمچ
RCP00007,۹,تیل / آئل,۴ کھانے کا چمچ
RCP00007,۱۰,نمک,حسبِ ذائقہ
RCP00008,۱,چکن کے ٹکڑے,۷۵۰ گرام
RCP00008,۲,دہی,۱۵۰ گرام
RCP00008,۳,لیمن جوس,۲ کھانے کا چمچ
RCP00008,۴,ادرک لہسن کا پیسٹ,۱ کھانے کا چمچ
RCP00008,۵,تکہ مصالحہ,۲ کھانے کا چمچ
RCP00008,۶,ہری مرچ,۱ چائے کا چمچ
RCP00008,۷,تیل / آئل,۲ کھانے کا چمچ
RCP00008,۸,نمک,حسبِ ذائقہ
RCP00009,۱,چکن,۵۰۰ گرام
RCP00009,۲,چاول,۵۰۰ گرام
RCP00009,۳,پیاز,۲
RCP00009,۴,دہی,۱۰۰ گرام
RCP00009,۵,ادرک لہسن کا پیسٹ,۱ کھانے کا چمچ
RCP00009,۶,زیرا,۱ چائے کا چمچ
RCP00009,۷,کالی مرچ,۱ چائے کا چمچ
RCP00009,۸,دارچینی,۱ سٹک
RCP00009,۹,الائچی,۳ عدد
RCP00009,۱۰,نمک,حسبِ ذائقہ
RCP00009,۱۱,تیل / آئل,۵ کھانے کا چمچ
RCP00010,۱,چاول,۵۰۰ گرام
RCP00010,۲,چکن,۵۰۰ گرام
RCP00010,۳,پیاز,۲ عدد
RCP00010,۴,ادرک,۱ کھانے کا چمچ
RCP00010,۵,لہسن,۱ کھانے کا چمچ
RCP00010,۶,زیرا,۱ چائے کا چمچ
RCP00010,۷,دارچینی,۱ سٹک
RCP00010,۸,الائچی,۴ عدد
RCP00010,۹,کالی مرچ,۸ عدد
RCP00010,۱۰,نمک,حسبِ ذائقہ
RCP00011,۱,چاول,۵۰۰ گرام
RCP00011,۲,گاجر,۱ عدد
RCP00011,۳,آلو,۱ عدد
RCP00011,۴,مئی / کون,۱ کپ
RCP00011,۵,مٹر,۱ کپ
RCP00011,۶,پیاز,۱ عدد
RCP00011,۷,زیرا,۱ چائے کا چمچ
RCP00011,۸,ثابت گرم مصالحہ,۱ چائے کا چمچ
RCP00011,۹,تیل / آئل,۴ کھانے کا چمچ
RCP00011,۱۰,نمک,حسبِ ذائقہ
RCP00012,۱,چکن,۷۵۰ گرام
RCP00012,۲,چاول,۵۰۰ گرام
RCP00012,۳,آلو,۲ عدد
RCP00012,۴,ٹماٹر,۳ عدد
RCP00012,۵,دہی,۲۰۰ گرام
RCP00012,۶,پیاز,۳ عدد
RCP00012,۷,بریانی مصالحہ,۲ کھانے کا چمچ
RCP00012,۸,ہری مرچ,۴ عدد
RCP00012,۹,پودینہ,۱/۲ کپ
RCP00012,۱۰,دھنیا,۱/۲ کپ
RCP00012,۱۱,تیل / آئل,۱۵۰ ملی لیٹر
RCP00012,۱۲,نمک,حسبِ ذائقہ
RCP00013,۱,چاول,۵۰۰ گرام
RCP00013,۲,زیرا,۲ کھانے کا چمچ
RCP00013,۳,مکھن,۲ کھانے کا چمچ
RCP00013,۴,تیل / آئل,۱ کھانے کا چمچ
RCP00013,۵,نمک,۱ چائے کا چمچ
RCP00013,۶,پانی,حسبِ ضرورت
RCP00014,۱,چاول,۵۰۰ گرام
RCP00014,۲,ٹماٹر,۲ عدد
RCP00014,۳,پیاز,۱ عدد
RCP00014,۴,گاجر,۱ عدد
RCP00014,۵,شملہ مرچ,۱ عدد
RCP00014,۶,مئی / کون,۱/۲ کپ
RCP00014,۷,ہری مرچ,۱ چائے کا چمچ
RCP00014,۸,گرم مصالحہ,۱/۲ چائے کا چمچ
RCP00014,۹,تیل / آئل,۳ کھانے کا چمچ
RCP00014,۱۰,نمک,حسبِ ذائقہ
RCP00015,۱,بھنڈی,۵۰۰ گرام
RCP00015,۲,ٹماٹر,۳ عدد
RCP00015,۳,پیاز,۱ عدد
RCP00015,۴,ادرک لہسن,۱ کھانے کا چمچ
RCP00015,۵,ہری مرچ,۱ چائے کا چمچ
RCP00015,۶,ہلدی,۱/۲ چائے کا چمچ
RCP00015,۷,دھنیا پاؤڈر,۱ چائے کا چمچ
RCP00015,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00015,۹,نمک,حسبِ ذائقہ
RCP00016,۱,بھنڈی,۵۰۰ گرام
RCP00016,۲,پیاز,۳ عدد
RCP00016,۳,ٹماٹر,۲ عدد
RCP00016,۴,دہی,۱۰۰ گرام
RCP00016,۵,ادرک لہسن,۱ کھانے کا چمچ
RCP00016,۶,ہری مرچ,۱ چائے کا چمچ
RCP00016,۷,زیرا,۱ چائے کا چمچ
RCP00016,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00016,۹,نمک,حسبِ ذائقہ
RCP00017,۱,بھنڈی,۵۰۰ گرام
RCP00017,۲,آٹا / میدہ,۱/۲ کپ
RCP00017,۳,چاول کا آٹا,۲ کھانے کا چمچ
RCP00017,۴,ہری مرچ,۱ چائے کا چمچ
RCP00017,۵,چاٹ مصالحہ,۱ چائے کا چمچ
RCP00017,۶,ہلدی,۱/۲ چائے کا چمچ
RCP00017,۷,نمک,حسبِ ذائقہ
RCP00017,۸,تیل / آئل,تلنے کے لیے
RCP00018,۱,آلو,۳ عدد
RCP00018,۲,گوبھی,۵۰۰ گرام
RCP00018,۳,ٹماٹر,۲ عدد
RCP00018,۴,پیاز,۱ عدد
RCP00018,۵,ادرک لہسن,۱ کھانے کا چمچ
RCP00018,۶,ہلدی,۱/۲ چائے کا چمچ
RCP00018,۷,ہری مرچ,۱ چائے کا چمچ
RCP00018,۸,دھنیا,۱ چائے کا چمچ
RCP00018,۹,تیل / آئل,۴ کھانے کا چمچ
RCP00018,۱۰,نمک,حسبِ ذائقہ
RCP00019,۱,گاجر,۱ عدد
RCP00019,۲,آلو,۲ عدد
RCP00019,۳,گوبھی,۲۰۰ گرام
RCP00019,۴,مئی / کون,۱/۲ کپ
RCP00019,۵,مٹر,۱/۲ کپ
RCP00019,۶,شملہ مرچ,۱ عدد
RCP00019,۷,پیاز,۱ عدد
RCP00019,۸,ٹماٹر,۲ عدد
RCP00019,۹,مصالحے,حسبِ ذائقہ
RCP00019,۱۰,تیل / آئل,۴ کھانے کا چمچ
RCP00020,۱,آلو,۳ عدد
RCP00020,۲,شملہ مرچ,۳ عدد
RCP00020,۳,پیاز,۱ عدد
RCP00020,۴,ٹماٹر,۲ عدد
RCP00020,۵,زیرا,۱ چائے کا چمچ
RCP00020,۶,ہری مرچ,۱ چائے کا چمچ
RCP00020,۷,ہلدی,۱/۲ چائے کا چمچ
RCP00020,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00020,۹,نمک,حسبِ ذائقہ
RCP00021,۱,گاجر,۵۰۰ گرام
RCP00021,۲,مٹر,۱ کپ
RCP00021,۳,پیاز,۱ عدد
RCP00021,۴,ٹماٹر,۲ عدد
RCP00021,۵,ادرک لہسن,۱ کھانے کا چمچ
RCP00021,۶,ہری مرچ,۱ چائے کا چمچ
RCP00021,۷,ہلدی,۱/۲ چائے کا چمچ
RCP00021,۸,تیل / آئل,۳ کھانے کا چمچ
RCP00021,۹,نمک,حسبِ ذائقہ
RCP00022,۱,گاجر,۱ عدد
RCP00022,۲,آلو,۱ عدد
RCP00022,۳,شملہ مرچ,۱ عدد
RCP00022,۴,گوبھی,۲۰۰ گرام
RCP00022,۵,مئی / کون,۱/۲ کپ
RCP00022,۶,دہی,۱۵۰ گرام
RCP00022,۷,کریم,۱۰۰ ملی لیٹر
RCP00022,۸,ٹماٹر,۲ عدد
RCP00022,۹,مصالحے,حسبِ ذائقہ
RCP00022,۱۰,تیل / آئل,۴ کھانے کا چمچ
RCP00023,۱,چنے,۱ کپ
RCP00023,۲,پیاز,۱ عدد
RCP00023,۳,ٹماٹر,۲ عدد
RCP00023,۴,ادرک لہسن,۱ کھانے کا چمچ
RCP00023,۵,ہلدی,۱/۲ چائے کا چمچ
RCP00023,۶,ہری مرچ,۱ چائے کا چمچ
RCP00023,۷,زیرا,۱ چائے کا چمچ
RCP00023,۸,تیل / آئل,۳ کھانے کا چمچ
RCP00023,۹,نمک,حسبِ ذائقہ
RCP00024,۱,دال,۱ کپ
RCP00024,۲,ٹماٹر,۲ عدد
RCP00024,۳,پیاز,۱ عدد
RCP00024,۴,ادرک لہسن,۱ کھانے کا چمچ
RCP00024,۵,ہری مرچ,۱ چائے کا چمچ
RCP00024,۶,ہلدی,۱/۲ چائے کا چمچ
RCP00024,۷,زیرا,۱ چائے کا چمچ
RCP00024,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00024,۹,نمک,حسبِ ذائقہ
RCP00025,۱,دال,۱ کپ
RCP00025,۲,ٹماٹر,۲ عدد
RCP00025,۳,پیاز,۱ عدد
RCP00025,۴,ادرک لہسن,۱ کھانے کا چمچ
RCP00025,۵,ہلدی,۱/۲ چائے کا چمچ
RCP00025,۶,ہری مرچ,۱ چائے کا چمچ
RCP00025,۷,زیرا,۱ چائے کا چمچ
RCP00025,۸,تیل / آئل,۳ کھانے کا چمچ
RCP00025,۹,نمک,حسبِ ذائقہ
RCP00026,۱,دال,۱ کپ
RCP00026,۲,ٹماٹر,۲ عدد
RCP00026,۳,پیاز,۱ عدد
RCP00026,۴,لہسن,۵ جو
RCP00026,۵,زیرا,۱ چائے کا چمچ
RCP00026,۶,ہری مرچ,۲ عدد
RCP00026,۷,ہلدی,۱/۲ چائے کا چمچ
RCP00026,۸,مکھن,۱ کھانے کا چمچ
RCP00026,۹,تیل / آئل,۲ کھانے کا چمچ
RCP00026,۱۰,نمک,حسبِ ذائقہ
RCP00027,۱,دال,۱ کپ
RCP00027,۲,پالک,۳۰۰ گرام
RCP00027,۳,ٹماٹر,۲ عدد
RCP00027,۴,پیاز,۱ عدد
RCP00027,۵,ادرک لہسن,۱ کھانے کا چمچ
RCP00027,۶,ہلدی,۱/۲ چائے کا چمچ
RCP00027,۷,ہری مرچ,۱ چائے کا چمچ
RCP00027,۸,تیل / آئل,۳ کھانے کا چمچ
RCP00027,۹,نمک,حسبِ ذائقہ
RCP00028,۱,چنے,۲ کپ
RCP00028,۲,ٹماٹر,۳ عدد
RCP00028,۳,پیاز,۱ عدد
RCP00028,۴,ادرک لہسن,۱ کھانے کا چمچ
RCP00028,۵,چنا مصالحہ,۱ کھانے کا چمچ
RCP00028,۶,ہری مرچ,۱ چائے کا چمچ
RCP00028,۷,تیل / آئل,۴ کھانے کا چمچ
RCP00028,۸,نمک,حسبِ ذائقہ
RCP00029,۱,چنے,۲ کپ
RCP00029,۲,آلو,۲ عدد
RCP00029,۳,ٹماٹر,۲ عدد
RCP00029,۴,پیاز,۱ عدد
RCP00029,۵,ادرک لہسن,۱ کھانے کا چمچ
RCP00029,۶,ہری مرچ,۱ چائے کا چمچ
RCP00029,۷,ہلدی,۱/۲ چائے کا چمچ
RCP00029,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00029,۹,نمک,حسبِ ذائقہ
RCP00030,۱,چنے,۱۱/۲ کپ
RCP00030,۲,چاول,۵۰۰ گرام
RCP00030,۳,پیاز,۲ عدد
RCP00030,۴,زیرا,۱ چائے کا چمچ
RCP00030,۵,دارچینی,۱ سٹک
RCP00030,۶,الائچی,۳ عدد
RCP00030,۷,ادرک لہسن,۱ کھانے کا چمچ
RCP00030,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00030,۹,نمک,حسبِ ذائقہ
RCP00031,۱,چنے,۲ کپ
RCP00031,۲,دہی,۱۰۰ گرام
RCP00031,۳,ٹماٹر,۲ عدد
RCP00031,۴,پیاز,۱ عدد
RCP00031,۵,ادرک لہسن,۱ کھانے کا چمچ
RCP00031,۶,ہری مرچ,۱ چائے کا چمچ
RCP00031,۷,دھنیا پاؤڈر,۱ چائے کا چمچ
RCP00031,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00031,۹,نمک,حسبِ ذائقہ
RCP00032,۱,انڈہ,۶ عدد
RCP00032,۲,ٹماٹر,۳ عدد
RCP00032,۳,پیاز,۱ عدد
RCP00032,۴,ادرک لہسن,۱ کھانے کا چمچ
RCP00032,۵,ہری مرچ,۱ چائے کا چمچ
RCP00032,۶,ہلدی,۱/۲ چائے کا چمچ
RCP00032,۷,دھنیا پاؤڈر,۱ چائے کا چمچ
RCP00032,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00032,۹,نمک,حسبِ ذائقہ
RCP00033,۱,انڈہ,۶ عدد
RCP00033,۲,پیاز,۲ عدد
RCP00033,۳,ٹماٹر,۲ عدد
RCP00033,۴,شملہ مرچ,۱ عدد
RCP00033,۵,ہری مرچ,۲ عدد
RCP00033,۶,ہری مرچ,۱/۲ چائے کا چمچ
RCP00033,۷,کالی مرچ,۱/۲ چائے کا چمچ
RCP00033,۸,تیل / آئل,۳ کھانے کا چمچ
RCP00033,۹,نمک,حسبِ ذائقہ
RCP00034,۱,انڈہ,۳ عدد
RCP00034,۲,پیاز,۱/۲
RCP00034,۳,ٹماٹر,۱ عدد
RCP00034,۴,ہری مرچ,۱ عدد
RCP00034,۵,دھنیا,۱ کھانے کا چمچ
RCP00034,۶,کالی مرچ,۱/۲ چائے کا چمچ
RCP00034,۷,نمک,حسبِ ذائقہ
RCP00034,۸,تیل / آئل,۱ کھانے کا چمچ
RCP00035,۱,انڈہ,۴ عدد
RCP00035,۲,ٹماٹر,۴ عدد
RCP00035,۳,پیاز,۱ عدد
RCP00035,۴,شملہ مرچ,۱ عدد
RCP00035,۵,لہسن,۲ جو
RCP00035,۶,ہری مرچ,۱/۲ چائے کا چمچ
RCP00035,۷,زیرا,۱/۲ چائے کا چمچ
RCP00035,۸,کالی مرچ,۱/۲ چائے کا چمچ
RCP00035,۹,تیل / آئل,۲ کھانے کا چمچ
RCP00035,۱۰,نمک,حسبِ ذائقہ
RCP00036,۱,آلو,۵۰۰ گرام
RCP00036,۲,زیرا,۲ چائے کا چمچ
RCP00036,۳,ہری مرچ,۲ عدد
RCP00036,۴,ہری مرچ,۱/۲ چائے کا چمچ
RCP00036,۵,ہلدی,۱/۴ چائے کا چمچ
RCP00036,۶,تیل / آئل,۳ کھانے کا چمچ
RCP00036,۷,نمک,حسبِ ذائقہ
RCP00036,۸,دھنیا,۲ کھانے کا چمچ
RCP00037,۱,آلو,۵۰۰ گرام
RCP00037,۲,ٹماٹر,۲ عدد
RCP00037,۳,پیاز,۱ عدد
RCP00037,۴,ادرک لہسن,۱ کھانے کا چمچ
RCP00037,۵,ہری مرچ,۱ چائے کا چمچ
RCP00037,۶,ہلدی,۱/۲ چائے کا چمچ
RCP00037,۷,دھنیا پاؤڈر,۱ چائے کا چمچ
RCP00037,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00037,۹,نمک,حسبِ ذائقہ
RCP00038,۱,آلو,۴۰۰ گرام
RCP00038,۲,پالک,۴۰۰ گرام
RCP00038,۳,ٹماٹر,۲ عدد
RCP00038,۴,پیاز,۱ عدد
RCP00038,۵,ادرک لہسن,۱ کھانے کا چمچ
RCP00038,۶,ہری مرچ,۱ چائے کا چمچ
RCP00038,۷,ہلدی,۱/۲ چائے کا چمچ
RCP00038,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00038,۹,نمک,حسبِ ذائقہ
RCP00039,۱,آلو,۵۰۰ گرام
RCP00039,۲,کارن فلور,۲ کھانے کا چمچ
RCP00039,۳,ہری مرچ,۱ چائے کا چمچ
RCP00039,۴,کالی مرچ,۱/۲ چائے کا چمچ
RCP00039,۵,چاٹ مصالحہ,۱ چائے کا چمچ
RCP00039,۶,نمک,حسبِ ذائقہ
RCP00039,۷,تیل / آئل,تلنے کے لیے
RCP00040,۱,مئی / کون,۲ کپ
RCP00040,۲,ٹماٹر,۲ عدد
RCP00040,۳,پیاز,۱ عدد
RCP00040,۴,شملہ مرچ,۱ عدد
RCP00040,۵,ادرک لہسن,۱ چائے کا چمچ
RCP00040,۶,ہری مرچ,۱/۲ چائے کا چمچ
RCP00040,۷,گرم مصالحہ,۱/۲ چائے کا چمچ
RCP00040,۸,تیل / آئل,۲ کھانے کا چمچ
RCP00040,۹,نمک,حسبِ ذائقہ
RCP00041,۱,چاول,۵۰۰ گرام
RCP00041,۲,مئی / کون,۱۱/۲ کپ
RCP00041,۳,پیاز,۱ عدد
RCP00041,۴,زیرا,۱ چائے کا چمچ
RCP00041,۵,ہری مرچ,۲ عدد
RCP00041,۶,دارچینی,۱ سٹک
RCP00041,۷,تیل / آئل,۳ کھانے کا چمچ
RCP00041,۸,نمک,حسبِ ذائقہ
RCP00042,۱,مئی / کون,۲ کپ
RCP00042,۲,کریم,۱۵۰ ملی لیٹر
RCP00042,۳,دہی,۱۰۰ گرام
RCP00042,۴,پیاز,۱ عدد
RCP00042,۵,ٹماٹر,۱ عدد
RCP00042,۶,ادرک لہسن,۱ چائے کا چمچ
RCP00042,۷,کالی مرچ,۱/۲ چائے کا چمچ
RCP00042,۸,گرم مصالحہ,۱/۲ چائے کا چمچ
RCP00042,۹,مکھن,۲ کھانے کا چمچ
RCP00042,۱۰,نمک,حسبِ ذائقہ
RCP00043,۱,چکن,۷۵۰ گرام
RCP00043,۲,دہی,۲۵۰ گرام
RCP00043,۳,پیاز,۲ عدد
RCP00043,۴,ادرک لہسن,۱ کھانے کا چمچ
RCP00043,۵,ہری مرچ,۱ چائے کا چمچ
RCP00043,۶,دھنیا پاؤڈر,۱ چائے کا چمچ
RCP00043,۷,گرم مصالحہ,۱/۲ چائے کا چمچ
RCP00043,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00043,۹,نمک,حسبِ ذائقہ
RCP00044,۱,آلو,۵۰۰ گرام
RCP00044,۲,دہی,۲۵۰ گرام
RCP00044,۳,ٹماٹر,۱ عدد
RCP00044,۴,زیرا,۱ چائے کا چمچ
RCP00044,۵,ہری مرچ,۱/۲ چائے کا چمچ
RCP00044,۶,ہلدی,۱/۴ چائے کا چمچ
RCP00044,۷,ہری مرچ,۲ عدد
RCP00044,۸,تیل / آئل,۳ کھانے کا چمچ
RCP00044,۹,نمک,حسبِ ذائقہ
RCP00045,۱,دہی,۵۰۰ گرام
RCP00045,۲,آٹا / میدہ,۱/۲ کپ
RCP00045,۳,پیاز,۱ عدد
RCP00045,۴,ٹماٹر,۱ عدد
RCP00045,۵,ہلدی,۱/۲ چائے کا چمچ
RCP00045,۶,ہری مرچ,۱ چائے کا چمچ
RCP00045,۷,زیرا,۱ چائے کا چمچ
RCP00045,۸,تیل / آئل,۳ کھانے کا چمچ
RCP00045,۹,نمک,حسبِ ذائقہ
RCP00046,۱,چکن,۶۰۰ گرام
RCP00046,۲,پالک,۵۰۰ گرام
RCP00046,۳,ٹماٹر,۲ عدد
RCP00046,۴,پیاز,۱ عدد
RCP00046,۵,ادرک لہسن,۱ کھانے کا چمچ
RCP00046,۶,ہری مرچ,۲ عدد
RCP00046,۷,ہری مرچ,۱ چائے کا چمچ
RCP00046,۸,تیل / آئل,۴ کھانے کا چمچ
RCP00046,۹,نمک,حسبِ ذائقہ
RCP00047,۱,پالک,۵۰۰ گرام
RCP00047,۲,پنیر,۳۰۰ گرام
RCP00047,۳,ٹماٹر,۲ عدد
RCP00047,۴,پیاز,۱ عدد
RCP00047,۵,ادرک لہسن,۱ کھانے کا چمچ
RCP00047,۶,ہری مرچ,۲ عدد
RCP00047,۷,کریم,۵۰ ملی لیٹر
RCP00047,۸,تیل / آئل,۳ کھانے کا چمچ
RCP00047,۹,نمک,حسبِ ذائقہ
RCP00048,۱,دال,۵۰۰ گرام
RCP00048,۲,پالک,۳۰۰ گرام
RCP00048,۳,ٹماٹر,۲ عدد
RCP00048,۴,پیاز,۱ عدد
RCP00048,۵,لہسن,۱ کھانے کا چمچ
RCP00048,۶,ہلدی,۲ عدد
RCP00048,۷,ہری مرچ,۵۰ ملی لیٹر
RCP00048,۸,تیل / آئل,۳ کھانے کا چمچ
RCP00048,۹,نمک,حسبِ ذائقہ
RCP00049,۱,آٹا / میدہ,۲ کپ
RCP00049,۲,آلو,۳ عدد
RCP00049,۳,ہری مرچ,۲ عدد
RCP00049,۴,دھنیا,۲ کھانے کا چمچ
RCP00049,۵,ہری مرچ,۱/۲ چائے کا چمچ
RCP00049,۶,زیرا,۱/۲ چائے کا چمچ
RCP00049,۷,نمک,حسبِ ذائقہ
RCP00049,۸,تیل / گھی,حسبِ ضرورت
RCP00050,۱,آٹا / میدہ,۲ کپ
RCP00050,۲,پکا ہوا چکن,۲۵۰ گرام
RCP00050,۳,پیاز,۱ عدد
RCP00050,۴,ہری مرچ,۲ عدد
RCP00050,۵,دھنیا,۲ کھانے کا چمچ
RCP00050,۶,کالی مرچ,۱/۲ چائے کا چمچ
RCP00050,۷,نمک,حسبِ ذائقہ
RCP00050,۸,تیل / آئل,حسبِ ضرورت
RCP00051,۱,گاجر,۵۰۰ گرام
RCP00051,۲,مٹر,۱ کپ
RCP00051,۳,پیاز,۱ عدد
RCP00051,۴,ٹماٹر,۲ عدد
RCP00051,۵,ادرک لہسن,۱ کھانے کا چمچ
RCP00051,۶,ہری مرچ,۱ چائے کا چمچ
RCP00051,۷,ہلدی,۱/۲ چائے کا چمچ
RCP00051,۸,تیل / آئل,۳ کھانے کا چمچ
RCP00051,۹,نمک,حسبِ ذائقہ
RCP00052,۱,گاجر,۵۰۰ گرام
RCP00052,۲,پیاز,۱ عدد
RCP00052,۳,ٹماٹر,۲ عدد
RCP00052,۴,زیرا,۱ چائے کا چمچ
RCP00052,۵,ہری مرچ,۱/۲ چائے کا چمچ
RCP00052,۶,ہلدی,۱/۴ چائے کا چمچ
RCP00052,۷,دھنیا پاؤڈر,۱ چائے کا چمچ
RCP00052,۸,تیل / آئل,۳ کھانے کا چمچ
RCP00052,۹,نمک,حسبِ ذائقہ
RCP00053,۱,چکن,۲۵۰ گرام
RCP00053,۲,مئی / کون,۱ کپ
RCP00053,۳,انڈہ,۱ عدد
RCP00053,۴,چکن یخنی,۴ کپ
RCP00053,۵,کارن فلور,۲ کھانے کا چمچ
RCP00053,۶,سویا ساس,۱ کھانے کا چمچ
RCP00053,۷,کالی مرچ,۱/۲ چائے کا چمچ
RCP00053,۸,سرکہ,۱ کھانے کا چمچ
RCP00053,۹,نمک,حسبِ ذائقہ
RCP00054,۱,چکن,۲۰۰ گرام
RCP00054,۲,گاجر,۱ عدد
RCP00054,۳,مئی / کون,۱/۲ کپ
RCP00054,۴,بند گوبھی,۱/۲ کپ
RCP00054,۵,چکن یخنی,۴ کپ
RCP00054,۶,سویا ساس,۱ کھانے کا چمچ
RCP00054,۷,سرکہ,۱ کھانے کا چمچ
RCP00054,۸,چلّی ساس,۱ کھانے کا چمچ
RCP00054,۹,کارن فلور,۲ کھانے کا چمچ
RCP00054,۱۰,کالی مرچ,۱/۲ چائے کا چمچ
RCP00054,۱۱,نمک,حسبِ ذائقہ
RCP00055,۱,چکن,۳۰۰ گرام
RCP00055,۲,پانی,۶ کپ
RCP00055,۳,گاجر,۱ عدد
RCP00055,۴,پیاز,۱ عدد
RCP00055,۵,لہسن,۳ جو
RCP00055,۶,ادرک,۱ عدد
RCP00055,۷,کالی مرچ,۱ چائے کا چمچ
RCP00055,۸,نمک,حسبِ ذائقہ
RCP00055,۹,دھنیا,۲ کھانے کا چمچ
RCP00056,۱,دال,۱ کپ
RCP00056,۲,گاجر,۱ عدد
