رسیپی_آئی_ڈی,رسیپی_کا_نام,بنیادی_اجزاء,کی_ورڈز,ساتھ_پیش_کرنے_کی_اشیاء
RCP00040,کون مسالہ,مئی / کون,سویٹ کون، مکھن، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، کریم,روٹی، گارلک بریڈ، سلاد
RCP00041,کون پلاؤ,مئی / کون,سویٹ کون، باسمتی چاول، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ثابت گرم مصالحہ,رائتہ، سلاد
RCP00042,کریمی کون کری,مئی / کون,سویٹ کون، کریم، کاجو، مکھن، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے,نان، روٹی، چاول
RCP00043, دہی چکن,مرغی / چکن,چکن، دہی، دہی، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، کالی مرچ,روٹی، نان، چاول، سلاد
RCP00044,دہی کڑھی,سبزیاں,دہی، دہی، بیسن، بیسن، پکوڑے، ہلدی، مصالحے، تڑکا، کڑی پتہ، رائے دانہ,چاول، روٹی، آچار
RCP00045,پالک چکن,مرغی / چکن,چکن، پالک، پالک، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر، کریم,روٹی، نان، چاول، رائتہ
RCP00046,پالک پنیر,سبزیاں,پنیر، پنیر، پالک، پالک، کریم، مکھن، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، مصالحے,نان، روٹی، پراٹھا
RCP00047,پالک دال,دال,daal، دال، پالک، پالک، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، تڑکا,روٹی، چاول، آچار
RCP00048,آلو پراٹھا,سبزیاں,گیہوں کا آٹا، میسشڈ آلو، آلو، ہری مرچ، دھنیا، مصالحے، گھی، مکھن,دہی، رائتہ، مکھن، پودینہ چٹنی، آچار
RCP00049,چکن پراٹھا,مرغی / چکن,گیہوں کا آٹا، قیمہ چکن، لہسن، ادرک، ہری مرچ، مصالحے، گھی، مکھن,دہی، پودینہ چٹنی، رائتہ، آچار
RCP00050,گاجر مٹر,سبزیاں,گاجر، gajar، مٹر، مٹر، ککنگ آئل، لہسن کا پیسٹ، ادرک کا پیسٹ، پیاز، مصالحے، ٹماٹر,روٹی، پراٹھا، رائتہ
RCP00051,گاجر کی سبزی,سبزیاں,گاجر، gajar، زیرا، ہری مرچ، ککنگ آئل، مصالحے، دھنیا، ہلدی,روٹی، پراٹھا، رائتہ
RCP00052,چکن کون سوپ,مرغی / چکن,چکن یخنی، شیریڈڈ چکن، سویٹ کون، انڈے کی سفیدی، کارن اسٹارچ، سویا ساس، سرکہ، کالی مرچ,کریکر، مرچ سرکہ، سویا ساس، ساس
RCP00053,ہاٹ اینڈ سُور سوپ,مرغی / چکن,چکن یخنی، چکن، مشروم، بند گوبھی، گاجر، سویا ساس، سرکہ، چلّی ساس، انڈہ، کارن اسٹارچ,سوپ اسٹکس، مرچ سرکہ، سویا ساس
RCP00054,چکن یخنی سوپ,مرغی / چکن,چکن ہڈیاں / گوشت، پانی، ثابت گرم مصالحہ، کالی مرچ، ادرک، لہسن، نمک، ہلدی,لیموں کے ٹکڑے، ٹوسٹ، ابلا انڈہ
RCP00055,دال سوپ,دال,پیلی دال، مونگ دال، سبزیوں کی یخنی، لہسن، زیرا، زیتون کا تیل، لیمن جوس، مصالحے,کراوٹنز، لیموں کے ٹکڑے، گارلک ٹوسٹ
RCP00056,کریمی ویجیٹیبل سوپ,سبزیاں,مکس سبزیاں، مکھن، دودھ، کریم، آٹا، سبزیوں کی یخنی، لہسن، مرچ، نمک,گارلک بریڈ، کراوٹنز
RCP00057,گاجر کا حلوہ,میٹھا / ڈش,گاجر، gajar، دودھ، کھویا، چینی، گھی، الائچی، بادام، پستہ,وینیلا آئس کریم، گرم دودھ
RCP00058,شاہی ٹکڑے,میٹھا / ڈش,بریڈ سلائس، دودھ، چینی، زعفران، الائچی، کنڈینسڈ ملک، گھی، بادام، پستہ,چاندی کا ورک، ربڑی
RCP00059,کھیر,میٹھا / ڈش,باسمتی چاول، دودھ، چینی، الائچی، زعفران، کیوڑا واٹر، بادام، پستہ، کھویا,پوری، پوری، میوے
